Iteration,Estimated_Pi
100,"3,1746031746031744"
200,"3,278688524590164"
300,"3,1746031746031744"
400,"3,1496062992125986"
500,"3,1545741324921135"
600,"3,125"
700,"3,104212860310421"
800,"3,11284046692607"
900,"3,130434782608696"
1000,"3,1695721077654517"
1100,"3,197674418604651"
1200,"3,2"
1300,"3,1784841075794623"
1400,"3,1818181818181817"
1500,"3,1813361611876987"
1600,"3,1809145129224654"
1700,"3,1865042174320526"
1800,"3,2085561497326203"
1900,"3,234042553191489"
2000,"3,2180209171359615"
2100,"3,2134659525631215"
2200,"3,2116788321167884"
2300,"3,2011134307585247"
2400,"3,193612774451098"
2500,"3,188775510204082"
2600,"3,1843233312921004"
2700,"3,1746031746031744"
2800,"3,1710079275198186"
2900,"3,1780821917808217"
3000,"3,189792663476874"
3100,"3,1746031746031744"
3200,"3,1651829871414443"
3300,"3,177660086663457"
3400,"3,183520599250936"
3500,"3,1803725579282145"
3600,"3,183023872679045"
3700,"3,1965442764578835"
3800,"3,2013479359730415"
3900,"3,1914893617021276"
4000,"3,198720511795282"
4100,"3,1981279251170047"
4200,"3,1975637609440426"
4300,"3,1934645376903084"
4400,"3,1907179115300943"
4500,"3,1880977683315623"
4600,"3,1944444444444446"
4700,"3,194019707781176"
4800,"3,19893368877041"
4900,"3,1984334203655354"
5000,"3,1959092361776924"
5100,"3,1934877896055105"
5200,"3,195084485407066"
5300,"3,1889290012033693"
5400,"3,1849012090828666"
5500,"3,1828703703703702"
5600,"3,1755032605613835"
5700,"3,1746031746031744"
5800,"3,173734610123119"
5900,"3,1746031746031744"
6000,"3,175443238952104"
6100,"3,1729518855656695"
6200,"3,177857508969759"
6300,"3,1802120141342756"
6400,"3,1809145129224654"
6500,"3,1800391389432487"
6600,"3,1768953068592056"
6700,"3,172348484848485"
6800,"3,173862310385064"
6900,"3,1724137931034484"
7000,"3,1717263253285"
7100,"3,1746031746031744"
7200,"3,172504957038995"
7300,"3,1759843376114856"
7400,"3,1752842737609956"
7500,"3,171917953055614"
7600,"3,1759297952361054"
7700,"3,1785345717234263"
7800,"3,184973458554512"
7900,"3,1841999193873436"
8000,"3,1783869686134287"
8100,"3,1789638932496076"
