Iteration,Estimated_Pi
100,"3,278688524590164"
200,"3,10077519379845"
300,"3,225806451612903"
400,"3,21285140562249"
500,"3,2467532467532467"
600,"3,2171581769436997"
700,"3,255813953488372"
800,"3,225806451612903"
900,"3,197158081705151"
1000,"3,179650238473768"
1100,"3,151862464183381"
1200,"3,145478374836173"
1300,"3,1325301204819276"
1400,"3,135498320268757"
1500,"3,147953830010493"
1600,"3,1746031746031744"
1700,"3,1569173630454967"
1800,"3,1496062992125986"
1900,"3,1535269709543567"
2000,"3,147128245476003"
2100,"3,1343283582089554"
2200,"3,1272210376687988"
2300,"3,1485284052019167"
2400,"3,1620553359683794"
2500,"3,1685678073510775"
2600,"3,1687995124923827"
2700,"3,1634446397188047"
2800,"3,1513787281935848"
2900,"3,162486368593239"
3000,"3,1762837480148227"
3100,"3,177857508969759"
3200,"3,1714568880079286"
3300,"3,1639501438159154"
3400,"3,168685927306617"
3500,"3,170289855072464"
3600,"3,1802120141342756"
3700,"3,181427343078246"
3800,"3,1825795644891124"
3900,"3,1810766721044046"
4000,"3,1783869686134287"
4100,"3,1758326878388847"
4200,"3,1746031746031744"
4300,"3,166421207658321"
4400,"3,1597845601436267"
4500,"3,1545741324921135"
4600,"3,1485284052019167"
4700,"3,148024112525117"
4800,"3,1475409836065573"
4900,"3,154168007724493"
5000,"3,1525851197982346"
5100,"3,1510658016682114"
5200,"3,1515151515151514"
5300,"3,1528851873884594"
5400,"3,153284671532847"
5500,"3,1600114909508763"
5600,"3,1638418079096047"
5700,"3,164029975020816"
5800,"3,165938864628821"
5900,"3,165236051502146"
6000,"3,1578947368421053"
6100,"3,1483870967741936"
6200,"3,1440162271805274"
6300,"3,143712574850299"
6400,"3,135717785399314"
6500,"3,135552339604438"
6600,"3,133903133903134"
6700,"3,135970044465247"
6800,"3,1300345224395856"
6900,"3,1271244051665534"
7000,"3,131991051454139"
7100,"3,1277533039647576"
7200,"3,131115459882583"
7300,"3,135065492806528"
7400,"3,1336015244547957"
7500,"3,1308703819661865"
7600,"3,1269286155112117"
7700,"3,131991051454139"
7800,"3,134418324291742"
7900,"3,1280934468422092"
8000,"3,1268321282001175"
8100,"3,129225420127487"
8200,"3,1273836765827614"
8300,"3,1255884014309925"
8400,"3,130240357741755"
8500,"3,133640552995392"
8600,"3,135824977210574"
8700,"3,1334413830361965"
8800,"3,1344612644701693"
8900,"3,1354588691210146"
9000,"3,1391698639693058"
9100,"3,140096618357488"
9200,"3,143149982917663"
9300,"3,148273527420447"
9400,"3,151718357082984"
9500,"3,1503896534571383"
9600,"3,1490897162538953"
9700,"3,1488394741113455"
9800,"3,151632095192153"
9900,"3,1568877551020407"
10000,"3,1545741324921135"
10100,"3,152801623224598"
10200,"3,1510658016682114"
10300,"3,1517747858017136"
10400,"3,151992726170632"
10500,"3,1526797778111395"
10600,"3,1552314332489955"
10700,"3,156807788759404"
10800,"3,1583564848662085"
10900,"3,158504781222834"
11000,"3,1604654503663268"
11100,"3,1623931623931623"
11200,"3,16473580107375"
11300,"3,161723559037493"
11400,"3,164029975020816"
11500,"3,165863730213352"
11600,"3,1681005052574083"
11700,"3,1643002028397564"
11800,"3,163962997720874"
11900,"3,1661567114540374"
12000,"3,1608060055314104"
12100,"3,1605067258717514"
12200,"3,1598031598031597"
12300,"3,157489410858683"
12400,"3,1568228105906315"
12500,"3,1589588071771546"
12600,"3,158686387565806"
12700,"3,1572405220633932"
12800,"3,158154453491241"
12900,"3,1598285364360073"
13000,"3,157639057566189"
13100,"3,1558660563719587"
13200,"3,156761927537965"
13300,"3,1561461794019934"
13400,"3,15702674048769"
13500,"3,159372805991107"
13600,"3,157650336661249"
13700,"3,157773423994468"
13800,"3,1575334629905045"
13900,"3,1540730655774905"
14000,"3,15066951727242"
14100,"3,1501340482573728"
14200,"3,151004105181405"
14300,"3,149779735682819"
14400,"3,1496062992125986"
14500,"3,1514888067811344"
14600,"3,150625809236081"
14700,"3,1504500642948994"
14800,"3,151953998509211"
14900,"3,1524383793504707"
15000,"3,1545741324921135"
15100,"3,1530590937565255"
15200,"3,154508664522154"
15300,"3,1569173630454967"
15400,"3,159622486663931"
15500,"3,1600407747196737"
15600,"3,161094224924012"
15700,"3,162453419276866"
15800,"3,1625300240192153"
15900,"3,163549542379626"
16000,"3,163305654408857"
16100,"3,1624435277941467"
16200,"3,1634446397188047"
16300,"3,1632058994760333"
16400,"3,162970106075217"
16500,"3,1615251963977773"
16600,"3,161302609026852"
16700,"3,161681181370693"
16800,"3,160865475070555"
16900,"3,160059835452506"
17000,"3,1592640773090506"
17100,"3,160521208760743"
17200,"3,1626367564585824"
17300,"3,1635731919173447"
17400,"3,1639239930902807"
17500,"3,1642708615857518"
17600,"3,1640449438202247"
17700,"3,1643872351836952"
17800,"3,165569980437489"
17900,"3,16590024761231"
18000,"3,1645569620253164"
18100,"3,1662730691856904"
18200,"3,163566834694942"
18300,"3,1622602384655263"
18400,"3,1625988312134754"
18500,"3,1637451902522447"
18600,"3,162727427308281"
